ticker,date,event_type,event_label,close,return_1d_pct,return_3d_pct,z_score_1d,z_score_3d,volume_spike,rsi,vix_rank,n_articles,avg_news_sentiment,sentiment_move_alignment,correlation_rating,coverage_rating,top_headline,top_source
USO,2026-01-08,major_gain,MAJOR GAIN,70.54000091552734,4.056645468152098,0.4557101812323383,2.1994718142469134,0.39887207396264274,1.3175369255261982,53.844570431896294,0.1884920634920635,0,0.0,0.0,0,0,No news found,N/A
EWA,2026-01-20,major_loss,MAJOR LOSS,26.459999084472656,-1.0471229956700912,-0.3014386898829491,-1.5781423149232943,-0.4754541875149118,1.8404636104239274,53.59932528655219,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
GLD,2026-01-20,major_gain,MAJOR GAIN,437.2300109863281,3.783617488689295,2.6506100578038483,2.3423605611633884,0.718254565788606,1.5403143287667964,73.54337610064691,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
QQQ,2026-01-20,major_loss,MAJOR LOSS,608.0599975585938,-2.12471622179754,-1.8545703269732816,-2.2928115321655342,-1.2122688097523433,1.734601555153887,40.10133303799212,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
SPY,2026-01-20,extreme_loss,EXTREME LOSS,677.5800170898438,-2.0356759970762806,-1.851203507284771,-3.0682917153626974,-1.8527998501605825,1.5301676897412844,40.99895328459548,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
^AXJO,2026-01-20,major_loss,MAJOR LOSS,8815.900390625,-0.6603144895487079,-0.5168286409838907,-1.5059165128196799,-0.9419123375264312,1.2394371475145678,57.70169596820224,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
QQQ,2026-01-21,major_gain,MAJOR GAIN,616.280029296875,1.3518455039445598,-0.8845571972164401,1.5197005320955956,-0.529863086008188,1.6550107369158156,48.00505805444299,0.4801587301587302,0,0.0,0.0,0,0,No news found,N/A
SPY,2026-01-21,major_gain,MAJOR GAIN,685.4000244140625,1.1541083159159804,-0.9880916902816672,1.662988155148351,-0.9878674551563965,1.723885682786534,49.56145303864651,0.4801587301587302,0,0.0,0.0,0,0,No news found,N/A
EWA,2026-01-22,major_gain,MAJOR GAIN,27.06999969482422,1.385763750233071,1.2341059331739013,1.6320061449219072,0.6932204228118495,1.0373788964980188,64.65565070743074,0.21031746031746032,0,0.0,0.0,0,0,No news found,N/A
USO,2026-01-23,major_gain,MAJOR GAIN,73.94999694824219,2.9657438909338696,2.9084279434163474,1.545372813915802,1.0267314663793907,0.9702451712086949,60.236885816003706,0.29365079365079366,0,0.0,0.0,0,0,No news found,N/A
EWA,2026-01-27,major_gain,MAJOR GAIN,28.239999771118164,2.244746245641216,4.322128147336657,2.391574621881931,2.327118671121878,1.112791776960363,77.30378486074407,0.32936507936507936,0,0.0,0.0,0,0,No news found,N/A
^AXJO,2026-01-27,major_gain,MAJOR GAIN,8941.599609375,0.9198542182727198,1.8069112900266804,1.6017868658307273,1.6819441461939413,1.3892430007493115,66.85902763670502,0.32936507936507936,0,0.0,0.0,0,0,No news found,N/A
GLD,2026-01-28,major_gain,MAJOR GAIN,494.55999755859375,3.8773348494905324,7.982532218033578,2.1204481069912,2.22013825072981,2.277077249082173,88.11248047076054,0.33134920634920634,0,0.0,0.0,0,0,No news found,N/A
USO,2026-01-29,major_gain,MAJOR GAIN,79.13999938964844,3.2889539973017357,7.702770514613433,1.5892047043737634,2.418885120869665,2.008554265215726,71.09417111515042,0.4801587301587302,0,0.0,0.0,0,0,No news found,N/A
EWA,2026-01-30,major_loss,MAJOR LOSS,27.75,-2.3574949841496107,-1.7351266823284472,-2.8140724705159967,-1.48776125140845,2.1238219029722614,62.4501421006197,0.5615079365079365,0,0.0,0.0,0,0,No news found,N/A
GLD,2026-01-30,extreme_loss,EXTREME LOSS,444.95001220703125,-10.274245274560045,-6.5427417553344025,-4.593658048951617,-2.691796590367863,3.3050392846381045,53.93591520177212,0.5615079365079365,0,0.0,0.0,0,0,No news found,N/A
SLV,2026-01-30,extreme_loss,EXTREME LOSS,75.44000244140625,-28.540302491726877,-25.740717431969284,-4.6526168226904625,-3.9268891208381755,3.1069265049389427,45.92309142227876,0.5615079365079365,0,0.0,0.0,0,0,No news found,N/A
^AXJO,2026-01-30,major_loss,MAJOR LOSS,8869.099609375,-1.0818528036268593,-0.8108168914652158,-2.2196330533508246,-1.2175733924607584,1.7361527422021181,56.07430594193587,0.5615079365079365,0,0.0,0.0,0,0,No news found,N/A
GLD,2026-02-02,major_loss,MAJOR LOSS,427.1300048828125,-4.004945911975222,-13.634340223360342,-1.7895025658258639,-3.7764447607043046,1.4993340987370838,47.0407174267139,0.32142857142857145,34,-0.006246819904119509,0.008866336703410043,3,5,Belt and Road Becomes Key Tool in China's Push to Enforce One-China Policy,Modern Diplomacy
SLV,2026-02-02,extreme_loss,EXTREME LOSS,72.44000244140625,-3.9766700727907334,-31.401511848355955,-0.7954050668477147,-3.622508888075488,1.2824479796172643,43.833361597579106,0.32142857142857145,4,-0.18718546044081452,0.26275946968235075,4,3,Closing Bell: ASX in full retreat as metals rout continues | Stockhead,Stockhead
USO,2026-02-02,major_loss,MAJOR LOSS,75.33000183105469,-5.269108386433841,-1.6836346505937572,-2.7043840361604463,-0.8396320728681755,1.1848634676573349,56.304089096585436,0.32142857142857145,9,-0.19607508613262328,0.15654224767867062,4,4,Libya grapples with disastrous finances in spite of oil boom | The National,The National
^AXJO,2026-02-02,major_loss,MAJOR LOSS,8778.599609375,-1.0203967030017136,-1.7383312378652538,-1.9539926236944847,-2.065573541534736,1.4269034171992978,47.64159188900939,0.32142857142857145,5,0.25058311975050357,-0.326912434399128,1,4,Closing Bell: ASX in full retreat as metals rout continues | Stockhead,Stockhead
GLD,2026-02-03,major_gain,MAJOR GAIN,454.2900085449219,6.358720612372104,-8.390801747065213,2.2910314638653055,-2.251671786735747,1.0061599627310511,56.22598281121514,0.6111111111111112,66,-0.012246415722092568,-0.015370333335842146,3,5,Gold price rebounds after 21% dive: What's going on?,Motley Fool Australia
QQQ,2026-02-03,major_loss,MAJOR LOSS,616.52001953125,-1.5363967949866497,-2.051057829266989,-1.6848612895184236,-1.3918762781704748,1.467837855540824,45.74405874117683,0.6111111111111112,204,0.10996787620361545,-0.11515463386872309,2,5,Closing Bell: ASX in full retreat as metals rout continues | Stockhead,Stockhead
SLV,2026-02-03,extreme_loss,EXTREME LOSS,76.95999908447266,6.239641759706527,-27.100502693052697,0.7918996424970028,-2.786130641916656,1.0017283942513946,47.695266370575276,0.6111111111111112,6,-0.08242694992462501,-0.10239054309204221,2,4,Closing Bell: ASX in full retreat as metals rout continues | Stockhead,Stockhead
QQQ,2026-02-04,major_loss,MAJOR LOSS,605.75,-1.7469050785145046,-2.5921808808527236,-1.8097329668606346,-1.6724996512023542,1.4290005365907865,38.90499733916889,0.6746031746031746,133,0.02726712313674791,-0.03476798374317866,3,5,Closing Bell: ASX in full retreat as metals rout continues | Stockhead,Stockhead
EWA,2026-02-05,major_loss,MAJOR LOSS,27.84000015258789,-1.798942582079066,-0.39356210142726944,-2.139145393434457,-0.6358851748050313,0.8859898526420716,59.02274611979348,0.8253968253968254,15,-0.16685499538384055,0.10622915662825108,4,5,Closing Bell: ASX climbs as metals rocket higher once again | Stockhead,Stockhead
QQQ,2026-02-05,extreme_loss,EXTREME LOSS,597.030029296875,-1.43953292664053,-4.649117556862592,-1.4206797853524586,-2.701131519126697,1.5017059512038209,34.41822992582273,0.8253968253968254,149,0.02223106274119437,-0.02966917974111818,3,5,Saks Fifth Avenue's Discount Division Faces Existential Crisis as Luxury Retail Undergoes Fundamental Restructuring,WebProNews
SLV,2026-02-05,major_loss,MAJOR LOSS,66.69000244140625,-15.77418264161473,-7.937603266442372,-2.465565467089304,-1.0316118268351624,0.9478531330051253,40.84608253990168,0.8253968253968254,6,0.021549361614653713,-0.05810167842234174,3,4,"Sina Finance Overnight Headlines Roundup: February 6, 2026",新浪财经
SPY,2026-02-05,major_loss,MAJOR LOSS,677.6199951171875,-1.24892628772314,-2.558200013569023,-1.8964621057850946,-2.4260084695384823,1.336300673885533,38.96418304279375,0.8253968253968254,125,0.00038587533062989937,-0.006593856449425218,3,5,"Earnings call transcript: CleanSpark Q1 2026 misses earnings, stock plummets By Investing.com",Investing.com
QQQ,2026-02-06,major_gain,MAJOR GAIN,609.6500244140625,2.1137957050586076,-1.1143182539977925,2.1838324400897635,-0.5489872583181453,1.281501429875726,44.410219470170446,0.7579365079365079,155,0.05880492124785768,0.07090498443813094,3,5,Saks Fifth Avenue's Discount Division Faces Existential Crisis as Luxury Retail Undergoes Fundamental Restructuring,WebProNews
SPY,2026-02-06,major_gain,MAJOR GAIN,690.6199951171875,1.9184793975496328,0.15807372761182936,2.650347685565428,0.1223682522415689,1.033072301592444,52.05170068885475,0.7579365079365079,123,0.04628378731741138,0.05222515433844997,3,5,"Earnings call transcript: CleanSpark Q1 2026 misses earnings, stock plummets By Investing.com",Investing.com
^AXJO,2026-02-06,extreme_loss,EXTREME LOSS,8708.7998046875,-2.029433319773022,-1.6743608091584372,-3.17768179670251,-1.8657250530149685,1.2988127369455669,42.79117746570484,0.7579365079365079,14,0.01616993738429211,-0.08824375424800175,3,5,Closing Bell: ASX climbs as metals rocket higher once again | Stockhead,Stockhead
EWA,2026-02-09,major_gain,MAJOR GAIN,28.829999923706055,2.1253998979774646,1.6931200556528747,1.9072351762519677,0.6462889076217454,0.689446530783473,68.73412043645408,0.5396825396825397,16,0.052803839600190174,0.04988850153749809,3,5,Evergrande Property Services : Patate chaude ou bien immobilier chaud ?,Benzinga France
^AXJO,2026-02-09,extreme_gain,EXTREME GAIN,8912.099609375,2.3344181660723606,-0.1758573854249823,3.0698575328285966,-0.36130203079051565,0.13138839672176242,55.236673258884316,0.5396825396825397,16,0.052803839600190174,0.04988850153749809,3,5,Evergrande Property Services : Patate chaude ou bien immobilier chaud ?,Benzinga France
EWA,2026-02-11,major_gain,MAJOR GAIN,29.299999237060547,2.304468790074976,3.7902929938887775,1.9914251235458593,1.8110833940063213,0.8176276572396547,70.69604893591574,0.5753968253968254,24,0.12499722710504413,0.13893364872395372,4,5,2026 Anhui Provincial Government Work Report (Full Text),人民网
^AXJO,2026-02-11,major_gain,MAJOR GAIN,9014.7998046875,1.6622618531845879,3.5136873835967197,2.04477788423542,2.98711273973143,0.920489961585852,59.565071410518236,0.5753968253968254,17,0.115745908129461,0.13713118417517228,4,5,2026 Anhui Provincial Government Work Report (Full Text),人民网
GLD,2026-02-12,major_loss,MAJOR LOSS,451.3900146484375,-3.472828959819363,-3.3488178857329243,-1.5189729918879904,-1.1471402049665247,0.7109008932581726,52.407283999764104,0.7876984126984127,116,0.09127285595781898,-0.09223516654576465,3,5,"China CPI Inflation Plummets: January Rate Drops to 0.2% YoY, Missing Forecasts Amid Deflation Fears",BitcoinWorld
QQQ,2026-02-12,major_loss,MAJOR LOSS,600.6400146484375,-2.0338880463632636,-2.226851235948979,-1.9536036692634613,-1.2530540742358873,1.2874816191637062,39.88025090875469,0.7876984126984127,157,0.07485514353254677,-0.06508666274025088,3,5,"Zhitong Finance APP reports that ON Semiconductor (ON.US), a leading chipmaker serving the automotive and industrial sectors, released its latest quarterly results and future outlook early Tuesday Bei",证券之星
SLV,2026-02-12,major_loss,MAJOR LOSS,67.7300033569336,-11.53343062073936,-10.928455363678003,-1.8173617971039686,-1.2792323370578094,0.7452391873904246,42.98440875997322,0.7876984126984127,5,0.0992926324158907,-0.1151616488583386,2,4,1911 Gold Delivers Positive PEA for True North Highlighting Robust Economics with Low Capital Intensity and High Returns,Junior Mining Network
SPY,2026-02-12,major_loss,MAJOR LOSS,681.27001953125,-1.5448872914552103,-1.8272198937577588,-2.1410710616708717,-1.7165046682063358,1.3637719198226657,43.43331397832135,0.7876984126984127,126,0.06842142468899287,-0.08675888828001917,3,5,"Earnings call transcript: TELUS misses Q4 2025 forecasts, stock dips By Investing.com",Investing.com India
USO,2026-02-12,major_loss,MAJOR LOSS,76.37999725341797,-3.181648061414255,-2.1020244299051583,-1.7146537437903024,-0.9808066973274984,0.9887798083048417,54.05053685682663,0.7876984126984127,9,0.08945303587601162,-0.08776732001246677,3,4,Watching TRIPP: China and the art of strategic patience,The Armenian Weekly
^AXJO,2026-02-13,major_loss,MAJOR LOSS,8917.599609375,-1.3921644344004003,0.5661097563957274,-1.8903648726680495,0.2609923434038419,1.1885733985207472,53.20834682264233,0.7658730158730159,19,-0.21079112529879862,0.12211906363893496,4,5,13 ASX 200 shares hit multi-year lows as the market takes a breather,Motley Fool Australia
USO,2026-02-18,major_gain,MAJOR GAIN,79.4000015258789,4.846161371006064,3.9539203732110506,2.2582708171940666,1.2037700664538356,1.2856306191629367,61.532962447478106,0.7063492063492064,14,0.034645200152713135,0.053540058779929366,3,5,Industry experts react as UK inflation cools to 3% amid growing pressure for a March rate cut - IFA Magazine,IFA Magazine
EWA,2026-02-25,major_gain,MAJOR GAIN,30.15999984741211,1.9607840608587335,1.548818426451537,1.6986695259862743,0.48659787283668793,0.6374392600486216,73.41887833425156,0.5753968253968254,26,0.19383224153231518,0.1816114231263502,4,5,Closing Bell: Trump's fresh tariff shock knocks ASX lower; gold cushions losses | Stockhead,Stockhead
USO,2026-03-02,major_gain,MAJOR GAIN,87.19000244140625,6.394149711162944,9.356576910044634,2.851864007395014,2.717562910183722,3.800747859603255,74.39326362722771,0.7976190476190477,20,-0.3802179185471906,-0.3706797463726252,1,5,"European stocks set to slump as markets react to U.S., Israeli strikes on Iran",CNBC
EWA,2026-03-03,major_loss,MAJOR LOSS,29.09000015258789,-2.8065490946307503,-3.483740074066388,-2.9198990491915775,-2.6288286623998456,1.5997687201865864,53.19569800551426,0.876984126984127,3,-0.1259980476461351,0.1259980476461351,4,3,"Australia stock exchange hunts for new chief as lawsuit, regulatory lapses loom",Investing.com
GLD,2026-03-03,major_loss,MAJOR LOSS,468.1400146484375,-4.46122150031888,-1.956102061444842,-1.9597311772771984,-0.8456800737730972,1.467385956314553,52.81354115868719,0.876984126984127,56,-0.34890749112124214,0.35851344013520114,5,5,"European stocks set to slump as markets react to U.S., Israeli strikes on Iran",CNBC
USO,2026-03-03,extreme_gain,EXTREME GAIN,90.19999694824219,3.45222436352004,13.075091819102337,1.412808836326645,3.4333531470509233,3.8514662929162164,78.02160296790949,0.876984126984127,23,-0.5729035598146063,-0.568108237085297,1,5,"European stocks set to slump as markets react to U.S., Israeli strikes on Iran",CNBC
QQQ,2026-03-04,major_gain,MAJOR GAIN,610.75,1.5243164084000504,0.569747912503904,1.5739080422697798,0.4486693317568276,0.9994726078341581,50.2486677919218,0.7936507936507936,53,-0.27723615850802474,-0.2872958076397344,2,5,"Asian airline shares fall as US-Iran conflict disrupts travel, raises oil prices",Investing.com
USO,2026-03-04,extreme_gain,EXTREME GAIN,91.55999755859375,1.5077612598279222,11.72666378062348,0.49082514652556536,2.801891761264092,2.0379228545085084,79.43919683743573,0.7936507936507936,25,-0.482923066887529,-0.46177949937060475,1,5,"European stocks set to slump as markets react to U.S., Israeli strikes on Iran",CNBC
^AXJO,2026-03-04,major_loss,MAJOR LOSS,8901.2001953125,-1.9399999246919486,-3.2330944566757447,-2.550223233144581,-3.009464206385257,1.2593212377429392,44.976047596189254,0.7936507936507936,4,-0.15382534355438987,0.16634762671310455,4,3,"Australia stock exchange hunts for new chief as lawsuit, regulatory lapses loom",Investing.com
EWA,2026-03-05,major_loss,MAJOR LOSS,28.610000610351562,-2.5212939063038897,-4.4102896136487875,-2.497873297221492,-2.841322574214919,1.698728888140626,46.60932526203041,0.8849206349206349,2,0.0670965938613965,-0.0006291642785072327,3,2,Crypto billionaire Justin Sun settles US fraud case for US$10 million,SCMP Business
USO,2026-03-05,major_gain,MAJOR GAIN,96.30999755859375,5.187855096828975,10.459909234795983,2.128731347441655,2.323697903379872,3.0614878836420676,83.45343288712239,0.8849206349206349,19,-0.2934845533221959,-0.2733483874533129,2,5,"US stock futures edge lower as Iran conflict rages on, inflation fears rise",Investing.com
SPY,2026-03-06,major_loss,MAJOR LOSS,672.3800048828125,-1.3107091790493297,-1.1685523212745963,-1.8117876476241268,-1.0930285631930505,1.1910562412282966,38.4908874616532,0.9484126984126984,115,-0.37951197792005786,0.36195665931167165,5,5,These stocks in the S&P 500 have dropped the most since the U.S. and Israel attacked Iran - MarketWatch,GNews (MarketWatch)
USO,2026-03-06,extreme_gain,EXTREME GAIN,108.7699966430664,12.937389056512183,20.58758350677097,4.533491291986987,4.112047622046288,3.6779802951685734,89.33534670355533,0.9484126984126984,84,-0.40616385467536176,-0.39416406527605086,1,5,These stocks in the S&P 500 have dropped the most since the U.S. and Israel attacked Iran - MarketWatch,GNews (MarketWatch)
^AXJO,2026-03-09,extreme_loss,EXTREME LOSS,8566.2998046875,-3.2165879032030276,-3.7624183624289653,-3.62335092746717,-2.8867421424644037,0.0,32.1145919300952,,28,-0.30952129730023437,0.31223240680992603,5,5,ASX plunges with $130bn wiped from sharemarket amid spike in oil prices over Middle East crisis - The Guardian,GNews (The Guardian)
