ticker,ticker_name,group,regime,start_date,end_date,duration_days,start_price,end_price,period_return_pct,year
SPY,S&P 500,US,BULLISH,2015-02-11,2015-02-17,4,171.84,174.48,1.54,2015
SPY,S&P 500,US,BEARISH,2015-08-21,2015-09-03,10,165.81,163.9,-1.15,2015
SPY,S&P 500,US,BEARISH,2015-09-28,2015-10-01,4,158.4,161.87,2.19,2015
SPY,S&P 500,US,BULLISH,2015-10-07,2015-10-16,8,168.01,171.26,1.94,2015
SPY,S&P 500,US,BULLISH,2015-10-27,2015-10-29,3,174.07,175.94,1.08,2015
SPY,S&P 500,US,BULLISH,2015-11-02,2015-11-04,3,177.26,177.23,-0.01,2015
SPY,S&P 500,US,BEARISH,2016-01-07,2016-01-21,10,164.46,158.23,-3.79,2016
SPY,S&P 500,US,BULLISH,2016-02-22,2016-03-04,10,165.08,169.87,2.9,2016
SPY,S&P 500,US,BULLISH,2016-07-11,2016-07-21,9,182.74,185.2,1.34,2016
SPY,S&P 500,US,BULLISH,2016-11-15,2016-11-22,6,187.87,189.85,1.05,2016
SPY,S&P 500,US,BULLISH,2017-02-21,2017-02-23,3,204.74,204.7,-0.02,2017
SPY,S&P 500,US,BULLISH,2018-01-11,2018-01-26,11,243.7,252.93,3.79,2018
SPY,S&P 500,US,BEARISH,2018-02-05,2018-02-15,9,232.94,240.97,3.45,2018
SPY,S&P 500,US,BULLISH,2018-02-23,2018-02-27,3,242.45,242.2,-0.1,2018
SPY,S&P 500,US,BEARISH,2018-03-22,2018-04-03,8,233.64,231.07,-1.1,2018
SPY,S&P 500,US,BEARISH,2018-10-10,2018-10-24,11,248.83,237.23,-4.66,2018
SPY,S&P 500,US,BEARISH,2018-10-26,2018-10-31,4,237.23,241.97,2.0,2018
SPY,S&P 500,US,BULLISH,2018-11-07,2018-11-12,4,251.25,243.71,-3.0,2018
SPY,S&P 500,US,BEARISH,2018-11-20,2018-11-26,4,236.15,239.18,1.28,2018
SPY,S&P 500,US,BEARISH,2018-12-13,2018-12-31,12,237.27,224.76,-5.27,2018
SPY,S&P 500,US,BULLISH,2019-01-07,2019-01-22,11,228.77,236.4,3.33,2019
SPY,S&P 500,US,BULLISH,2019-02-22,2019-02-26,3,251.04,251.2,0.06,2019
SPY,S&P 500,US,BULLISH,2019-06-11,2019-06-20,8,260.96,267.25,2.41,2019
SPY,S&P 500,US,BEARISH,2019-08-05,2019-08-07,3,257.62,261.39,1.46,2019
SPY,S&P 500,US,BULLISH,2019-09-09,2019-09-12,4,270.67,273.48,1.04,2019
SPY,S&P 500,US,BEARISH,2020-02-25,2020-03-25,22,286.5,227.48,-20.6,2020
SPY,S&P 500,US,BULLISH,2020-04-01,2020-04-22,15,226.89,257.26,13.39,2020
SPY,S&P 500,US,BULLISH,2020-05-27,2020-06-10,11,279.78,294.04,5.1,2020
SPY,S&P 500,US,BULLISH,2020-07-09,2020-07-17,7,291.06,297.85,2.33,2020
SPY,S&P 500,US,BULLISH,2020-08-06,2020-08-14,7,309.53,311.85,0.75,2020
SPY,S&P 500,US,BULLISH,2020-08-25,2020-09-02,7,318.59,331.16,3.95,2020
SPY,S&P 500,US,BEARISH,2020-09-10,2020-09-14,3,309.12,313.35,1.37,2020
SPY,S&P 500,US,BEARISH,2020-09-16,2020-09-21,4,313.68,303.92,-3.11,2020
SPY,S&P 500,US,BULLISH,2020-10-07,2020-10-16,8,316.74,322.81,1.92,2020
SPY,S&P 500,US,BEARISH,2020-10-26,2020-11-02,6,315.47,306.93,-2.71,2020
SPY,S&P 500,US,BULLISH,2020-11-09,2020-11-18,8,329.57,331.17,0.49,2020
SPY,S&P 500,US,BULLISH,2020-12-04,2020-12-08,3,343.78,344.08,0.09,2020
SPY,S&P 500,US,BULLISH,2021-02-10,2021-02-16,4,364.13,366.2,0.57,2021
SPY,S&P 500,US,BULLISH,2021-04-05,2021-04-16,10,380.57,390.78,2.68,2021
SPY,S&P 500,US,BULLISH,2021-10-18,2021-10-29,10,421.52,432.89,2.7,2021
SPY,S&P 500,US,BEARISH,2022-01-18,2022-01-31,10,431.8,425.58,-1.44,2022
SPY,S&P 500,US,BULLISH,2022-02-08,2022-02-10,3,426.55,425.02,-0.36,2022
SPY,S&P 500,US,BEARISH,2022-02-18,2022-02-24,4,410.75,405.14,-1.37,2022
SPY,S&P 500,US,BULLISH,2022-03-18,2022-03-30,9,421.79,435.24,3.19,2022
SPY,S&P 500,US,BEARISH,2022-04-11,2022-04-18,5,417.42,415.57,-0.44,2022
SPY,S&P 500,US,BEARISH,2022-04-22,2022-05-12,15,404.25,372.27,-7.91,2022
SPY,S&P 500,US,BEARISH,2022-05-18,2022-05-20,3,371.82,369.7,-0.57,2022
SPY,S&P 500,US,BULLISH,2022-05-26,2022-05-31,3,384.58,391.81,1.88,2022
SPY,S&P 500,US,BULLISH,2022-06-02,2022-06-08,5,396.04,390.19,-1.48,2022
SPY,S&P 500,US,BEARISH,2022-06-10,2022-06-23,9,369.86,360.27,-2.59,2022
SPY,S&P 500,US,BULLISH,2022-07-27,2022-08-16,15,382.17,409.49,7.15,2022
SPY,S&P 500,US,BEARISH,2022-08-26,2022-09-09,10,386.24,387.47,0.32,2022
SPY,S&P 500,US,BEARISH,2022-09-21,2022-10-03,9,361.11,350.8,-2.86,2022
SPY,S&P 500,US,BULLISH,2022-10-21,2022-11-01,8,358.15,367.94,2.73,2022
SPY,S&P 500,US,BULLISH,2022-11-15,2022-11-23,7,381.3,385.06,0.99,2022
SPY,S&P 500,US,BEARISH,2022-12-15,2022-12-19,3,372.83,365.3,-2.02,2022
SPY,S&P 500,US,BEARISH,2022-12-27,2022-12-29,3,366.63,368.59,0.53,2022
SPY,S&P 500,US,BULLISH,2023-01-11,2023-01-17,4,380.2,382.36,0.57,2023
SPY,S&P 500,US,BULLISH,2023-01-20,2023-01-24,3,380.55,384.7,1.09,2023
SPY,S&P 500,US,BULLISH,2023-02-01,2023-02-03,3,394.89,396.38,0.38,2023
SPY,S&P 500,US,BEARISH,2023-02-28,2023-03-02,3,380.91,382.4,0.39,2023
SPY,S&P 500,US,BULLISH,2023-04-05,2023-04-13,6,393.31,398.97,1.44,2023
SPY,S&P 500,US,BULLISH,2023-06-07,2023-06-16,8,411.59,425.63,3.41,2023
SPY,S&P 500,US,BEARISH,2023-09-22,2023-10-04,9,418.34,412.74,-1.34,2023
SPY,S&P 500,US,BEARISH,2023-10-25,2023-10-31,5,405.83,406.46,0.16,2023
SPY,S&P 500,US,BULLISH,2023-11-03,2023-11-28,17,422.49,442.16,4.66,2023
SPY,S&P 500,US,BULLISH,2023-12-18,2023-12-27,7,460.58,465.01,0.96,2023
SPY,S&P 500,US,BULLISH,2024-05-14,2024-05-17,4,512.26,518.28,1.18,2024
SPY,S&P 500,US,BEARISH,2024-08-05,2024-08-07,3,508.1,509.36,0.25,2024
SPY,S&P 500,US,BULLISH,2024-08-16,2024-08-27,8,544.37,551.49,1.31,2024
SPY,S&P 500,US,BULLISH,2024-09-19,2024-09-25,5,560.74,561.53,0.14,2024
SPY,S&P 500,US,BULLISH,2025-01-23,2025-01-29,5,602.67,594.82,-1.3,2025
SPY,S&P 500,US,BEARISH,2025-03-03,2025-03-14,10,576.99,556.28,-3.59,2025
SPY,S&P 500,US,BEARISH,2025-04-03,2025-04-16,10,532.07,521.12,-2.06,2025
SPY,S&P 500,US,BULLISH,2025-04-30,2025-05-08,7,549.75,560.18,1.9,2025
SPY,S&P 500,US,BULLISH,2025-05-12,2025-05-22,9,577.96,578.06,0.02,2025
SPY,S&P 500,US,BULLISH,2025-07-02,2025-07-08,4,616.91,616.8,-0.02,2025
SPY,S&P 500,US,BULLISH,2025-10-24,2025-10-29,4,675.25,685.36,1.5,2025
SPY,S&P 500,US,BULLISH,2025-12-03,2025-12-08,4,681.88,681.62,-0.04,2025
QQQ,Nasdaq-100,US,BULLISH,2015-02-11,2015-02-26,11,96.48,100.25,3.91,2015
QQQ,Nasdaq-100,US,BULLISH,2015-07-14,2015-07-24,9,101.99,102.77,0.76,2015
QQQ,Nasdaq-100,US,BEARISH,2015-08-20,2015-09-03,11,99.05,95.64,-3.45,2015
QQQ,Nasdaq-100,US,BEARISH,2015-09-28,2015-10-01,4,92.72,94.78,2.23,2015
QQQ,Nasdaq-100,US,BULLISH,2015-10-09,2015-10-20,8,98.78,100.31,1.55,2015
QQQ,Nasdaq-100,US,BULLISH,2015-10-22,2015-11-05,11,101.73,106.37,4.56,2015
QQQ,Nasdaq-100,US,BEARISH,2016-01-07,2016-01-21,10,97.54,93.8,-3.83,2016
QQQ,Nasdaq-100,US,BEARISH,2016-02-05,2016-02-16,7,91.26,93.22,2.15,2016
QQQ,Nasdaq-100,US,BULLISH,2016-02-22,2016-03-04,10,96.06,98.28,2.31,2016
QQQ,Nasdaq-100,US,BEARISH,2016-04-27,2016-05-06,8,100.36,98.49,-1.86,2016
QQQ,Nasdaq-100,US,BULLISH,2016-05-26,2016-06-07,8,102.2,102.78,0.57,2016
QQQ,Nasdaq-100,US,BEARISH,2016-06-24,2016-06-28,3,97.55,97.71,0.16,2016
QQQ,Nasdaq-100,US,BULLISH,2016-07-11,2016-07-22,10,103.76,106.3,2.45,2016
QQQ,Nasdaq-100,US,BULLISH,2016-12-15,2016-12-20,4,112.9,113.37,0.42,2016
QQQ,Nasdaq-100,US,BULLISH,2017-02-14,2017-02-22,6,120.88,122.73,1.53,2017
QQQ,Nasdaq-100,US,BULLISH,2017-04-27,2017-05-05,7,127.93,129.62,1.32,2017
QQQ,Nasdaq-100,US,BULLISH,2017-06-01,2017-06-05,3,133.67,135.17,1.12,2017
QQQ,Nasdaq-100,US,BULLISH,2017-07-14,2017-07-25,8,134.3,136.46,1.6,2017
QQQ,Nasdaq-100,US,BULLISH,2017-11-03,2017-11-09,5,145.15,145.55,0.27,2017
QQQ,Nasdaq-100,US,BULLISH,2018-01-08,2018-01-29,15,154.26,161.43,4.64,2018
QQQ,Nasdaq-100,US,BEARISH,2018-02-05,2018-02-14,8,150.06,154.39,2.88,2018
QQQ,Nasdaq-100,US,BULLISH,2018-02-23,2018-02-28,4,159.6,158.69,-0.57,2018
QQQ,Nasdaq-100,US,BEARISH,2018-03-22,2018-04-06,11,154.75,148.89,-3.79,2018
QQQ,Nasdaq-100,US,BULLISH,2018-04-16,2018-04-18,3,154.56,158.21,2.36,2018
QQQ,Nasdaq-100,US,BULLISH,2018-05-08,2018-05-17,8,157.86,160.01,1.36,2018
QQQ,Nasdaq-100,US,BULLISH,2018-06-04,2018-06-06,3,165.68,167.17,0.9,2018
QQQ,Nasdaq-100,US,BULLISH,2018-06-11,2018-06-14,4,166.26,168.82,1.54,2018
QQQ,Nasdaq-100,US,BULLISH,2018-07-12,2018-07-19,6,170.95,170.54,-0.24,2018
QQQ,Nasdaq-100,US,BULLISH,2018-08-29,2018-09-04,4,177.89,177.04,-0.48,2018
QQQ,Nasdaq-100,US,BEARISH,2018-10-10,2018-10-19,8,163.88,165.12,0.75,2018
QQQ,Nasdaq-100,US,BEARISH,2018-10-26,2018-10-31,4,159.05,162.06,1.9,2018
QQQ,Nasdaq-100,US,BEARISH,2018-11-19,2018-11-26,5,154.66,155.45,0.51,2018
QQQ,Nasdaq-100,US,BEARISH,2018-12-14,2018-12-31,11,153.72,147.63,-3.96,2018
QQQ,Nasdaq-100,US,BULLISH,2019-01-07,2019-01-18,10,151.3,158.15,4.53,2019
QQQ,Nasdaq-100,US,BULLISH,2019-02-05,2019-02-07,3,163.68,161.0,-1.64,2019
QQQ,Nasdaq-100,US,BULLISH,2019-02-11,2019-02-13,3,161.17,163.66,1.55,2019
QQQ,Nasdaq-100,US,BULLISH,2019-03-20,2019-03-22,3,172.35,171.2,-0.67,2019
QQQ,Nasdaq-100,US,BULLISH,2019-04-05,2019-04-12,6,177.05,178.17,0.63,2019
QQQ,Nasdaq-100,US,BEARISH,2019-05-13,2019-05-15,3,171.22,175.54,2.53,2019
QQQ,Nasdaq-100,US,BEARISH,2019-05-30,2019-06-03,3,169.49,163.11,-3.76,2019
QQQ,Nasdaq-100,US,BULLISH,2019-06-11,2019-06-21,9,175.84,180.8,2.82,2019
QQQ,Nasdaq-100,US,BULLISH,2019-07-10,2019-07-15,4,185.03,186.56,0.83,2019
QQQ,Nasdaq-100,US,BEARISH,2019-08-05,2019-08-07,3,173.67,177.05,1.95,2019
QQQ,Nasdaq-100,US,BULLISH,2019-09-09,2019-09-12,4,183.72,185.68,1.07,2019
QQQ,Nasdaq-100,US,BULLISH,2019-10-15,2019-10-17,3,186.33,186.36,0.02,2019
QQQ,Nasdaq-100,US,BULLISH,2019-11-01,2019-11-07,5,191.48,192.98,0.78,2019
QQQ,Nasdaq-100,US,BULLISH,2019-12-16,2019-12-27,9,201.49,206.12,2.3,2019
QQQ,Nasdaq-100,US,BULLISH,2020-01-13,2020-01-15,3,213.2,212.45,-0.35,2020
QQQ,Nasdaq-100,US,BULLISH,2020-01-17,2020-01-23,4,215.55,216.71,0.54,2020
QQQ,Nasdaq-100,US,BULLISH,2020-02-10,2020-02-19,7,223.84,228.67,2.16,2020
QQQ,Nasdaq-100,US,BEARISH,2020-02-24,2020-03-25,23,213.63,176.28,-17.48,2020
QQQ,Nasdaq-100,US,BULLISH,2020-03-30,2020-04-27,20,185.7,208.44,12.25,2020
QQQ,Nasdaq-100,US,BULLISH,2020-05-05,2020-05-12,6,210.48,214.79,2.05,2020
QQQ,Nasdaq-100,US,BULLISH,2020-05-15,2020-05-21,5,215.9,221.32,2.51,2020
QQQ,Nasdaq-100,US,BULLISH,2020-05-27,2020-06-03,6,222.69,228.88,2.78,2020
QQQ,Nasdaq-100,US,BULLISH,2020-06-05,2020-06-10,4,231.78,238.09,2.72,2020
QQQ,Nasdaq-100,US,BULLISH,2020-07-02,2020-07-16,10,244.29,251.0,2.75,2020
QQQ,Nasdaq-100,US,BULLISH,2020-08-06,2020-08-13,6,266.04,263.94,-0.79,2020
QQQ,Nasdaq-100,US,BULLISH,2020-08-21,2020-09-02,9,273.04,293.28,7.41,2020
QQQ,Nasdaq-100,US,BEARISH,2020-09-10,2020-09-21,8,263.81,259.13,-1.77,2020
QQQ,Nasdaq-100,US,BULLISH,2020-10-07,2020-10-14,6,271.15,282.91,4.34,2020
QQQ,Nasdaq-100,US,BEARISH,2020-10-26,2020-11-03,7,271.68,266.05,-2.08,2020
QQQ,Nasdaq-100,US,BULLISH,2020-11-11,2020-11-17,5,280.68,283.11,0.87,2020
QQQ,Nasdaq-100,US,BULLISH,2020-12-01,2020-12-08,6,293.95,298.63,1.59,2020
QQQ,Nasdaq-100,US,BULLISH,2021-01-20,2021-01-22,3,314.2,315.8,0.51,2021
QQQ,Nasdaq-100,US,BULLISH,2021-02-10,2021-02-16,4,322.91,325.62,0.84,2021
QQQ,Nasdaq-100,US,BEARISH,2021-02-25,2021-03-10,10,303.58,301.69,-0.62,2021
QQQ,Nasdaq-100,US,BULLISH,2021-04-01,2021-04-16,11,315.37,332.32,5.37,2021
QQQ,Nasdaq-100,US,BEARISH,2021-05-10,2021-05-17,6,316.53,315.21,-0.41,2021
QQQ,Nasdaq-100,US,BULLISH,2021-07-02,2021-07-12,6,348.88,352.56,1.05,2021
QQQ,Nasdaq-100,US,BULLISH,2021-08-30,2021-09-03,5,369.91,371.18,0.34,2021
QQQ,Nasdaq-100,US,BEARISH,2021-09-28,2021-10-04,5,350.46,343.4,-2.01,2021
QQQ,Nasdaq-100,US,BULLISH,2021-10-18,2021-11-09,17,362.91,384.99,6.08,2021
QQQ,Nasdaq-100,US,BEARISH,2022-01-07,2022-01-31,16,370.4,354.01,-4.43,2022
QQQ,Nasdaq-100,US,BULLISH,2022-02-08,2022-02-10,3,350.18,349.51,-0.19,2022
QQQ,Nasdaq-100,US,BEARISH,2022-02-18,2022-02-25,5,333.01,337.16,1.25,2022
QQQ,Nasdaq-100,US,BEARISH,2022-03-11,2022-03-15,3,316.32,319.98,1.16,2022
QQQ,Nasdaq-100,US,BULLISH,2022-03-18,2022-04-04,12,342.74,360.55,5.2,2022
QQQ,Nasdaq-100,US,BEARISH,2022-04-11,2022-05-20,29,332.81,281.84,-15.32,2022
QQQ,Nasdaq-100,US,BULLISH,2022-06-02,2022-06-08,5,306.93,300.35,-2.14,2022
QQQ,Nasdaq-100,US,BEARISH,2022-06-10,2022-06-23,9,282.0,278.64,-1.19,2022
QQQ,Nasdaq-100,US,BULLISH,2022-07-19,2022-07-21,3,291.79,300.67,3.04,2022
QQQ,Nasdaq-100,US,BULLISH,2022-07-27,2022-08-16,15,300.12,325.03,8.3,2022
QQQ,Nasdaq-100,US,BEARISH,2022-08-26,2022-09-09,10,300.73,300.39,-0.11,2022
QQQ,Nasdaq-100,US,BEARISH,2022-09-21,2022-10-03,9,277.87,268.04,-3.54,2022
QQQ,Nasdaq-100,US,BEARISH,2022-10-18,2022-10-20,3,266.04,263.71,-0.87,2022
QQQ,Nasdaq-100,US,BULLISH,2022-10-24,2022-10-26,3,272.87,272.36,-0.19,2022
QQQ,Nasdaq-100,US,BEARISH,2022-11-03,2022-11-09,5,255.27,258.04,1.09,2022
QQQ,Nasdaq-100,US,BULLISH,2022-11-15,2022-11-23,7,283.59,283.03,-0.2,2022
QQQ,Nasdaq-100,US,BEARISH,2022-12-15,2022-12-20,4,271.34,264.77,-2.42,2022
QQQ,Nasdaq-100,US,BEARISH,2022-12-22,2023-01-03,7,262.04,259.8,-0.85,2022
QQQ,Nasdaq-100,US,BULLISH,2023-01-11,2023-02-08,20,272.63,298.98,9.66,2023
QQQ,Nasdaq-100,US,BEARISH,2023-02-28,2023-03-02,3,288.36,288.41,0.02,2023
QQQ,Nasdaq-100,US,BULLISH,2023-03-23,2023-04-03,8,304.74,314.97,3.36,2023
QQQ,Nasdaq-100,US,BULLISH,2023-05-17,2023-05-23,5,325.76,327.96,0.68,2023
QQQ,Nasdaq-100,US,BULLISH,2023-05-25,2023-06-20,17,334.22,361.46,8.15,2023
QQQ,Nasdaq-100,US,BULLISH,2023-07-13,2023-07-19,5,373.52,379.93,1.71,2023
QQQ,Nasdaq-100,US,BEARISH,2023-08-11,2023-08-21,7,360.8,358.5,-0.64,2023
QQQ,Nasdaq-100,US,BULLISH,2023-08-30,2023-09-06,5,371.27,369.18,-0.56,2023
QQQ,Nasdaq-100,US,BEARISH,2023-09-21,2023-09-29,7,353.06,353.46,0.11,2023
QQQ,Nasdaq-100,US,BULLISH,2023-10-10,2023-10-12,3,363.65,364.97,0.36,2023
QQQ,Nasdaq-100,US,BEARISH,2023-10-25,2023-10-31,5,345.64,346.16,0.15,2023
QQQ,Nasdaq-100,US,BULLISH,2023-11-03,2023-11-24,15,362.78,384.29,5.93,2023
QQQ,Nasdaq-100,US,BULLISH,2023-12-13,2023-12-27,10,398.32,407.0,2.18,2023
QQQ,Nasdaq-100,US,BULLISH,2024-01-18,2024-01-30,9,408.48,420.65,2.98,2024
QQQ,Nasdaq-100,US,BEARISH,2024-04-19,2024-04-23,3,410.66,420.98,2.51,2024
QQQ,Nasdaq-100,US,BULLISH,2024-05-03,2024-05-09,5,431.29,436.78,1.27,2024
QQQ,Nasdaq-100,US,BULLISH,2024-05-14,2024-05-22,7,441.64,451.33,2.19,2024
QQQ,Nasdaq-100,US,BULLISH,2024-06-12,2024-06-21,7,469.59,475.56,1.27,2024
QQQ,Nasdaq-100,US,BULLISH,2024-07-05,2024-07-10,4,492.17,498.92,1.37,2024
QQQ,Nasdaq-100,US,BEARISH,2024-07-19,2024-07-30,8,471.42,453.85,-3.73,2024
QQQ,Nasdaq-100,US,BEARISH,2024-08-01,2024-08-07,5,455.96,431.27,-5.41,2024
QQQ,Nasdaq-100,US,BULLISH,2024-08-15,2024-08-27,9,470.6,472.93,0.49,2024
QQQ,Nasdaq-100,US,BEARISH,2024-09-03,2024-09-10,6,458.1,454.97,-0.68,2024
QQQ,Nasdaq-100,US,BULLISH,2024-09-19,2024-09-26,6,479.47,486.22,1.41,2024
QQQ,Nasdaq-100,US,BULLISH,2024-11-06,2024-11-11,4,502.22,510.42,1.63,2024
QQQ,Nasdaq-100,US,BULLISH,2024-12-02,2024-12-09,6,511.86,518.91,1.38,2024
QQQ,Nasdaq-100,US,BULLISH,2024-12-11,2024-12-17,5,526.4,532.24,1.11,2024
QQQ,Nasdaq-100,US,BEARISH,2025-01-10,2025-01-14,3,504.63,502.53,-0.42,2025
QQQ,Nasdaq-100,US,BEARISH,2025-02-27,2025-03-14,12,497.75,477.24,-4.12,2025
QQQ,Nasdaq-100,US,BEARISH,2025-04-03,2025-04-11,7,449.05,452.78,0.83,2025
QQQ,Nasdaq-100,US,BULLISH,2025-04-25,2025-05-23,21,470.88,507.43,7.76,2025
QQQ,Nasdaq-100,US,BULLISH,2025-07-02,2025-07-09,5,549.45,554.89,0.99,2025
QQQ,Nasdaq-100,US,BULLISH,2025-09-15,2025-09-23,7,590.23,597.43,1.22,2025
QQQ,Nasdaq-100,US,BULLISH,2025-10-24,2025-11-03,7,616.31,631.27,2.43,2025
QQQ,Nasdaq-100,US,BEARISH,2025-11-14,2025-11-21,6,608.08,589.31,-3.09,2025
QQQ,Nasdaq-100,US,BULLISH,2025-12-02,2025-12-10,7,621.2,626.8,0.9,2025
QQQ,Nasdaq-100,US,BEARISH,2026-02-10,2026-02-17,5,611.47,601.3,-1.66,2026
^AXJO,ASX 200,Australia,BULLISH,2015-01-29,2015-02-16,13,5569.5,5888.7,5.73,2015
^AXJO,ASX 200,Australia,BEARISH,2015-05-07,2015-05-12,4,5645.7,5674.7,0.51,2015
^AXJO,ASX 200,Australia,BEARISH,2015-08-12,2015-08-26,11,5382.1,5172.8,-3.89,2015
^AXJO,ASX 200,Australia,BEARISH,2015-09-01,2015-09-04,4,5096.4,5040.6,-1.09,2015
